timestamp,measured_distance_mm,measured_distance_without_drift_mm,true_distance_mm,drift_ppm,FP_power,RX_power
2025-07-04T14:44:34.507369,757,935,820,1979,-8193,-8120
2025-07-04T14:44:34.513488,1342,1149,1375,-2144,-8301,-8255
2025-07-04T14:44:34.519644,1291,1179,1300,-1242,-8644,-8092
2025-07-04T14:44:34.707550,737,924,820,2073,-8112,-8066
2025-07-04T14:44:34.713617,1354,1163,1375,-2122,-8336,-8255
2025-07-04T14:44:34.719815,1285,1174,1300,-1227,-8601,-8120
2025-07-04T14:44:34.907477,761,940,820,1989,-8135,-8092
2025-07-04T14:44:34.913648,1366,1181,1375,-2047,-8309,-8255
2025-07-04T14:44:34.919718,1304,1200,1300,-1156,-9030,-8597
2025-07-04T14:44:35.107700,805,984,820,1990,-8135,-8092
2025-07-04T14:44:35.113615,1375,1196,1375,-1996,-8379,-8342
2025-07-04T14:44:35.119894,1296,1186,1300,-1224,-8590,-8120
2025-07-04T14:44:35.307558,820,999,820,1988,-8134,-8066
2025-07-04T14:44:35.313640,1345,1153,1375,-2130,-8346,-8296
2025-07-04T14:44:35.319809,1284,1172,1300,-1242,-9017,-8597
2025-07-04T14:44:35.507546,754,933,820,1993,-8118,-8066
2025-07-04T14:44:35.513741,1322,1135,1375,-2082,-8410,-8342
2025-07-04T14:44:35.519878,1301,1198,1300,-1142,-9017,-8597
2025-07-04T14:44:35.707653,808,1003,820,2170,-8561,-8518
2025-07-04T14:44:35.713790,1354,1160,1375,-2154,-8380,-8296
2025-07-04T14:44:35.719996,1279,1181,1300,-1083,-8648,-8120
2025-07-04T14:44:35.907643,798,982,820,2048,-8159,-8120
2025-07-04T14:44:35.913782,1334,1151,1375,-2035,-8327,-8296
2025-07-04T14:44:35.919904,1264,1158,1300,-1181,-8616,-8120
2025-07-04T14:44:36.107975,814,999,820,2052,-8387,-8342
2025-07-04T14:44:36.114015,1364,1174,1375,-2103,-8324,-8255
2025-07-04T14:44:36.119922,1279,1172,1300,-1183,-8645,-8120
2025-07-04T14:44:36.308153,821,1006,820,2053,-8176,-8120
2025-07-04T14:44:36.314260,1360,1177,1375,-2033,-8393,-8296
2025-07-04T14:44:36.320956,1316,1196,1300,-1338,-8692,-8150
2025-07-04T14:44:36.507668,813,994,820,2011,-8102,-8041
2025-07-04T14:44:36.514001,1291,1116,1375,-1950,-8289,-8217
2025-07-04T14:44:36.520841,1306,1200,1300,-1174,-8668,-8120
2025-07-04T14:44:36.707846,831,1006,820,1941,-8389,-8342
2025-07-04T14:44:36.714017,1367,1174,1375,-2142,-8389,-8296
2025-07-04T14:44:36.720147,1277,1174,1300,-1140,-8692,-8150
2025-07-04T14:44:36.909803,810,996,820,2070,-8547,-8518
2025-07-04T14:44:36.914026,1342,1158,1375,-2048,-8342,-8296
2025-07-04T14:44:36.920113,1289,1174,1300,-1274,-8985,-8518
2025-07-04T14:44:37.107887,802,989,820,2076,-8091,-8041
2025-07-04T14:44:37.113963,1319,1139,1375,-1994,-8277,-8217
2025-07-04T14:44:37.120217,1262,1156,1300,-1184,-8985,-8518
2025-07-04T14:44:37.307929,823,1008,820,2058,-8148,-8092
2025-07-04T14:44:37.314110,1343,1146,1375,-2183,-8394,-8342
2025-07-04T14:44:37.320283,1291,1184,1300,-1186,-8639,-8150
2025-07-04T14:44:37.507873,758,940,820,2025,-8160,-8120
2025-07-04T14:44:37.514073,1329,1146,1375,-2032,-8362,-8296
2025-07-04T14:44:37.520311,1300,1193,1300,-1188,-8665,-8120
2025-07-04T14:44:37.708073,808,1001,820,2146,-8377,-8342
2025-07-04T14:44:37.714216,1310,1125,1375,-2050,-8408,-8342
2025-07-04T14:44:37.720457,1280,1170,1300,-1231,-9015,-8518
2025-07-04T14:44:37.908236,769,954,820,2051,-8223,-8120
2025-07-04T14:44:37.914255,1362,1163,1375,-2215,-8362,-8296
2025-07-04T14:44:37.920690,1283,1174,1300,-1210,-8613,-8120
2025-07-04T14:44:38.108100,821,1001,820,2003,-8384,-8342
2025-07-04T14:44:38.114279,1312,1132,1375,-2004,-8395,-8342
2025-07-04T14:44:38.120473,1298,1189,1300,-1214,-8620,-8120
2025-07-04T14:44:38.308047,749,940,820,2122,-8125,-8092
2025-07-04T14:44:38.314229,1305,1123,1375,-2020,-8170,-8092
2025-07-04T14:44:38.320333,1264,1160,1300,-1147,-9006,-8597
2025-07-04T14:44:38.508095,796,970,820,1936,-8161,-8041
2025-07-04T14:44:38.514312,1318,1125,1375,-2138,-8158,-8066
2025-07-04T14:44:38.520478,1267,1170,1300,-1078,-8630,-8120
2025-07-04T14:44:38.708264,834,1027,820,2141,-8414,-8393
2025-07-04T14:44:38.714371,1339,1153,1375,-2064,-8412,-8342
2025-07-04T14:44:38.720569,1263,1163,1300,-1113,-8988,-8518
2025-07-04T14:44:38.908123,788,966,820,1975,-8462,-8393
2025-07-04T14:44:38.914341,1367,1186,1375,-2011,-8359,-8255
2025-07-04T14:44:38.920513,1325,1210,1300,-1277,-8668,-8150
2025-07-04T14:44:39.108190,812,999,820,2070,-8136,-8092
2025-07-04T14:44:39.114379,1357,1174,1375,-2030,-8379,-8342
2025-07-04T14:44:39.120602,1307,1205,1300,-1138,-8677,-8120
2025-07-04T14:44:39.308345,851,1031,820,2001,-8609,-8597
2025-07-04T14:44:39.314503,1303,1118,1375,-2054,-8305,-8217
2025-07-04T14:44:39.320682,1285,1174,1300,-1226,-8617,-8120
2025-07-04T14:44:39.508381,822,1010,820,2090,-8668,-8597
2025-07-04T14:44:39.514573,1338,1149,1375,-2107,-8319,-8255
2025-07-04T14:44:39.520706,1293,1186,1300,-1184,-9053,-8597
2025-07-04T14:44:39.708324,768,949,820,2018,-8166,-8092
2025-07-04T14:44:39.714436,1347,1156,1375,-2126,-8439,-8342
2025-07-04T14:44:39.720613,1258,1151,1300,-1189,-8615,-8120
2025-07-04T14:44:39.908324,770,954,820,2048,-8174,-8120
2025-07-04T14:44:39.914521,1355,1160,1375,-2166,-8335,-8296
2025-07-04T14:44:39.920656,1294,1189,1300,-1173,-9324,-8995
2025-07-04T14:44:40.108387,747,931,820,2039,-8134,-8092
2025-07-04T14:44:40.114537,1335,1146,1375,-2093,-8324,-8296
2025-07-04T14:44:40.120714,1294,1196,1300,-1098,-8580,-8120
2025-07-04T14:44:40.308553,843,1031,820,2091,-8135,-8066
2025-07-04T14:44:40.314638,1381,1198,1375,-2039,-8414,-8296
2025-07-04T14:44:40.320873,1281,1174,1300,-1188,-8997,-8597
2025-07-04T14:44:40.508446,775,956,820,2016,-8173,-8120
2025-07-04T14:44:40.514591,1362,1181,1375,-2006,-8353,-8296
2025-07-04T14:44:40.520763,1276,1170,1300,-1176,-8651,-8150
2025-07-04T14:44:40.708583,853,1031,820,1982,-8406,-8393
2025-07-04T14:44:40.714784,1336,1144,1375,-2133,-8371,-8255
2025-07-04T14:44:40.720867,1292,1189,1300,-1153,-8676,-8150
2025-07-04T14:44:40.908562,788,987,820,2209,-8097,-8066
2025-07-04T14:44:40.914718,1337,1144,1375,-2145,-8326,-8255
2025-07-04T14:44:40.920851,1281,1167,1300,-1258,-8634,-8150
2025-07-04T14:44:41.108560,758,942,820,2047,-8171,-8120
2025-07-04T14:44:41.114708,1344,1158,1375,-2062,-8268,-8217
