timestamp,measured_distance_mm,measured_distance_without_drift_mm,true_distance_mm,drift_ppm,FP_power,RX_power
2025-07-04T14:44:26.354115,1712,1998,1710,3180,-8726,-8001
2025-07-04T14:44:26.360244,1294,1397,1300,1150,-8656,-8104
2025-07-04T14:44:26.366213,534,445,620,-990,-8246,-8201
2025-07-04T14:44:26.554145,1728,2016,1710,3201,-8847,-8001
2025-07-04T14:44:26.560288,1270,1364,1300,1053,-8943,-8502
2025-07-04T14:44:26.566253,530,445,620,-946,-8740,-8678
2025-07-04T14:44:26.754155,1738,2033,1710,3277,-8702,-7979
2025-07-04T14:44:26.760314,1289,1397,1300,1197,-8653,-8104
2025-07-04T14:44:26.766361,508,417,620,-1017,-8533,-8502
2025-07-04T14:44:26.954261,1721,2005,1710,3156,-8757,-8001
2025-07-04T14:44:26.960332,1275,1376,1300,1126,-8679,-8104
2025-07-04T14:44:26.966384,512,429,620,-928,-8245,-8201
2025-07-04T14:44:27.154284,1741,2040,1710,3318,-8784,-8025
2025-07-04T14:44:27.160380,1285,1383,1300,1088,-9010,-8502
2025-07-04T14:44:27.166356,539,443,620,-1074,-8755,-8678
2025-07-04T14:44:27.354280,1725,2009,1710,3159,-8764,-8001
2025-07-04T14:44:27.360417,1293,1395,1300,1134,-8603,-8104
2025-07-04T14:44:27.366372,504,426,620,-867,-8193,-8134
2025-07-04T14:44:27.554355,1714,2000,1710,3177,-8866,-8134
2025-07-04T14:44:27.560450,1290,1381,1300,1007,-8986,-8502
2025-07-04T14:44:27.566451,525,431,620,-1040,-8252,-8201
2025-07-04T14:44:27.754485,1726,2009,1710,3148,-8750,-8001
2025-07-04T14:44:27.760487,1280,1378,1300,1094,-8646,-8104
2025-07-04T14:44:27.766462,509,433,620,-845,-8164,-8104
2025-07-04T14:44:27.954374,1710,2005,1710,3279,-8734,-8025
2025-07-04T14:44:27.960502,1287,1397,1300,1226,-8637,-8104
2025-07-04T14:44:27.966498,530,445,620,-946,-8761,-8678
2025-07-04T14:44:28.154430,1726,2023,1710,3309,-8754,-8001
2025-07-04T14:44:28.160538,1261,1374,1300,1248,-8663,-8104
2025-07-04T14:44:28.166536,518,433,620,-943,-8782,-8678
2025-07-04T14:44:28.354421,1705,2005,1710,3326,-8775,-8001
2025-07-04T14:44:28.360563,1259,1362,1300,1150,-8988,-8502
2025-07-04T14:44:28.366572,550,454,620,-1064,-8191,-8134
2025-07-04T14:44:28.554454,1702,1998,1710,3291,-8867,-8134
2025-07-04T14:44:28.560654,1286,1378,1300,1031,-8631,-8076
2025-07-04T14:44:28.566634,516,424,620,-1025,-8196,-8134
2025-07-04T14:44:28.754603,1727,2009,1710,3136,-8767,-7979
2025-07-04T14:44:28.760726,1286,1386,1300,1110,-8654,-8104
2025-07-04T14:44:28.766616,543,443,620,-1110,-8236,-8166
2025-07-04T14:44:28.958043,1722,2007,1710,3169,-8745,-8001
2025-07-04T14:44:28.960722,1350,1435,1300,943,-8609,-8076
2025-07-04T14:44:28.966844,530,436,620,-1052,-8197,-8134
2025-07-04T14:44:29.154613,1734,2026,1710,3239,-8759,-8001
2025-07-04T14:44:29.160821,1300,1407,1300,1186,-8634,-8104
2025-07-04T14:44:29.166744,524,431,620,-1038,-8212,-8166
2025-07-04T14:44:29.354644,1740,2021,1710,3123,-8724,-8001
2025-07-04T14:44:29.360876,1283,1383,1300,1109,-8658,-8104
2025-07-04T14:44:29.367635,537,431,620,-1173,-8223,-8166
2025-07-04T14:44:29.554803,1717,2014,1710,3298,-8767,-8001
2025-07-04T14:44:29.564204,1264,1367,1300,1143,-8635,-8104
2025-07-04T14:44:29.566930,554,457,620,-1079,-8498,-8435
2025-07-04T14:44:29.754726,1736,2023,1710,3193,-8774,-7979
2025-07-04T14:44:29.760773,1280,1381,1300,1117,-9032,-8502
2025-07-04T14:44:29.766690,530,447,620,-918,-8214,-8134
2025-07-04T14:44:29.954738,1692,1986,1710,3261,-8820,-7958
2025-07-04T14:44:29.960839,1262,1367,1300,1162,-8659,-8104
2025-07-04T14:44:29.966924,494,401,620,-1042,-8192,-8104
2025-07-04T14:44:30.154792,1684,1976,1710,3255,-8763,-8001
2025-07-04T14:44:30.160914,1307,1411,1300,1160,-8662,-8104
2025-07-04T14:44:30.166845,507,422,620,-949,-8291,-8201
2025-07-04T14:44:30.354828,1729,2016,1710,3198,-8763,-8025
2025-07-04T14:44:30.360927,1287,1378,1300,1019,-8643,-8076
2025-07-04T14:44:30.366843,552,466,620,-958,-8735,-8678
2025-07-04T14:44:30.554845,1732,2019,1710,3187,-8757,-8001
2025-07-04T14:44:30.560873,1293,1376,1300,922,-8689,-8104
2025-07-04T14:44:30.566988,535,438,620,-1074,-8218,-8104
2025-07-04T14:44:30.754923,1703,2002,1710,3330,-8861,-8166
2025-07-04T14:44:30.761012,1296,1393,1300,1075,-8679,-8104
2025-07-04T14:44:30.767009,542,440,620,-1134,-8234,-8166
2025-07-04T14:44:30.954939,1740,2023,1710,3155,-8711,-8025
2025-07-04T14:44:30.961029,1248,1360,1300,1239,-8637,-8104
2025-07-04T14:44:30.967016,517,417,620,-1113,-8245,-8166
2025-07-04T14:44:31.155456,1746,2040,1710,3264,-8744,-8001
2025-07-04T14:44:31.161467,1301,1400,1300,1093,-8683,-8104
2025-07-04T14:44:31.167801,545,457,620,-982,-8488,-8435
2025-07-04T14:44:31.354980,1705,2007,1710,3360,-8895,-8166
2025-07-04T14:44:31.366772,1288,1388,1300,1113,-8632,-8076
2025-07-04T14:44:31.367365,521,417,620,-1157,-8175,-8134
2025-07-04T14:44:31.555045,1676,1976,1710,3335,-8890,-8104
2025-07-04T14:44:31.561133,1271,1369,1300,1094,-8687,-8104
2025-07-04T14:44:31.567152,504,408,620,-1072,-8189,-8134
2025-07-04T14:44:31.755029,1711,2000,1710,3207,-8820,-7958
2025-07-04T14:44:31.761190,1267,1371,1300,1161,-8712,-8104
2025-07-04T14:44:31.767128,550,462,620,-986,-8783,-8678
2025-07-04T14:44:31.955119,1706,2007,1710,3344,-8764,-7979
2025-07-04T14:44:31.961186,1268,1362,1300,1041,-8639,-8104
2025-07-04T14:44:31.967140,546,462,620,-935,-8758,-8678
2025-07-04T14:44:32.155065,1725,2019,1710,3259,-8808,-8001
2025-07-04T14:44:32.161213,1294,1404,1300,1225,-8610,-8104
2025-07-04T14:44:32.167197,537,457,620,-888,-8219,-8134
2025-07-04T14:44:32.355282,1717,2005,1710,3199,-8867,-8134
2025-07-04T14:44:32.361358,1283,1381,1300,1085,-8692,-8134
2025-07-04T14:44:32.367333,523,445,620,-867,-8168,-8104
2025-07-04T14:44:32.555172,1663,1965,1710,3355,-8914,-8104
2025-07-04T14:44:32.561201,1285,1374,1300,986,-8670,-8104
2025-07-04T14:44:32.567231,560,466,620,-1046,-8223,-8166
2025-07-04T14:44:32.755197,1717,2002,1710,3167,-8845,-8134
2025-07-04T14:44:32.761314,1283,1393,1300,1223,-8632,-8104
2025-07-04T14:44:32.767418,524,431,620,-1029,-8187,-8134
2025-07-04T14:44:32.955325,1712,2005,1710,3256,-8872,-8134
2025-07-04T14:44:32.961483,1264,1367,1300,1142,-8665,-8104
2025-07-04T14:44:32.967455,532,429,620,-1147,-8216,-8134
2025-07-04T14:44:33.155368,1713,2014,1710,3344,-8737,-8001
2025-07-04T14:44:33.161436,1279,1376,1300,1076,-8964,-8502
2025-07-04T14:44:33.167329,543,462,620,-903,-8722,-8678
2025-07-04T14:44:33.355426,1729,2019,1710,3216,-8683,-8025
2025-07-04T14:44:33.361574,1270,1374,1300,1149,-8635,-8076
2025-07-04T14:44:33.367473,563,471,620,-1020,-8521,-8502
2025-07-04T14:44:33.555429,1744,2030,1710,3185,-8796,-8001
2025-07-04T14:44:33.561572,1294,1393,1300,1096,-8634,-8104
2025-07-04T14:44:33.567428,507,424,620,-920,-8154,-8104
2025-07-04T14:44:33.756414,1742,2033,1710,3236,-8798,-8025
2025-07-04T14:44:33.761705,1266,1371,1300,1169,-8690,-8104
2025-07-04T14:44:33.768598,512,417,620,-1059,-8180,-8134
2025-07-04T14:44:33.955636,1719,2005,1710,3179,-8749,-8001
2025-07-04T14:44:33.964434,1264,1364,1300,1119,-8642,-8104
2025-07-04T14:44:33.967649,535,438,620,-1074,-8244,-8201
2025-07-04T14:44:34.155586,1732,2026,1710,3267,-8809,-8025
2025-07-04T14:44:34.161689,1273,1376,1300,1141,-8630,-8076
2025-07-04T14:44:34.167670,545,454,620,-1009,-8557,-8502
