timestamp,measured_distance_mm,measured_distance_without_drift_mm,true_distance_mm,drift_ppm,FP_power,RX_power
2025-07-04T14:44:31.882829,754,567,820,-2083,-8151,-8057
2025-07-04T14:44:31.888942,1501,1125,1440,-4181,-8766,-7932
2025-07-04T14:44:31.895103,1715,1423,1710,-3243,-8840,-7974
2025-07-04T14:44:32.082858,867,680,820,-2085,-8353,-8313
2025-07-04T14:44:32.089039,1470,1088,1440,-4256,-8710,-7915
2025-07-04T14:44:32.095161,1690,1400,1710,-3224,-8891,-8092
2025-07-04T14:44:32.283013,755,569,820,-2062,-8159,-8109
2025-07-04T14:44:32.289219,1461,1083,1440,-4199,-8753,-7935
2025-07-04T14:44:32.295282,1686,1395,1710,-3231,-8882,-8167
2025-07-04T14:44:32.482915,851,668,820,-2033,-8572,-8535
2025-07-04T14:44:32.489067,1454,1083,1440,-4121,-8744,-8092
2025-07-04T14:44:32.495327,1737,1451,1710,-3179,-8782,-8018
2025-07-04T14:44:32.683086,784,598,820,-2075,-8350,-8313
2025-07-04T14:44:32.689141,1455,1078,1440,-4190,-8666,-7974
2025-07-04T14:44:32.695334,1736,1446,1710,-3222,-8889,-7995
2025-07-04T14:44:32.882998,765,576,820,-2099,-8114,-8018
2025-07-04T14:44:32.889179,1456,1081,1440,-4174,-8759,-8041
2025-07-04T14:44:32.895480,1701,1404,1710,-3301,-8889,-8182
2025-07-04T14:44:33.083057,820,635,820,-2059,-8328,-8296
2025-07-04T14:44:33.089212,1459,1076,1440,-4258,-8707,-7954
2025-07-04T14:44:33.095384,1758,1470,1710,-3202,-8680,-7995
2025-07-04T14:44:33.283062,768,586,820,-2020,-8204,-8120
2025-07-04T14:44:33.289224,1461,1092,1440,-4096,-8793,-8066
2025-07-04T14:44:33.295442,1767,1475,1710,-3251,-8773,-7995
2025-07-04T14:44:33.483201,791,614,820,-1962,-8408,-8393
2025-07-04T14:44:33.489284,1466,1081,1440,-4288,-8778,-8041
2025-07-04T14:44:33.495485,1731,1442,1710,-3220,-8718,-7974
2025-07-04T14:44:33.686183,759,576,820,-2025,-8095,-8066
2025-07-04T14:44:33.689376,1457,1076,1440,-4237,-8766,-8092
2025-07-04T14:44:33.695589,1687,1390,1710,-3304,-8865,-8092
2025-07-04T14:44:33.883162,783,600,820,-2030,-8132,-8092
2025-07-04T14:44:33.889394,1475,1090,1440,-4281,-8779,-8092
2025-07-04T14:44:33.895691,1712,1425,1710,-3189,-8709,-8066
2025-07-04T14:44:34.083216,731,548,820,-2036,-8155,-8066
2025-07-04T14:44:34.089391,1448,1062,1440,-4292,-8793,-8041
2025-07-04T14:44:34.095691,1726,1430,1710,-3292,-8769,-7995
2025-07-04T14:44:34.283382,780,598,820,-2024,-8173,-8120
2025-07-04T14:44:34.289455,1466,1097,1440,-4100,-8756,-8041
2025-07-04T14:44:34.295657,1719,1430,1710,-3211,-8667,-7974
2025-07-04T14:44:34.483393,834,649,820,-2054,-8361,-8313
2025-07-04T14:44:34.489517,1531,1151,1440,-4229,-8718,-7974
2025-07-04T14:44:34.495627,1696,1414,1710,-3143,-8838,-7974
2025-07-04T14:44:34.683617,792,609,820,-2026,-8371,-8358
2025-07-04T14:44:34.689550,1547,1165,1440,-4251,-8749,-7935
2025-07-04T14:44:34.695803,1694,1397,1710,-3294,-8885,-8120
2025-07-04T14:44:34.883421,856,680,820,-1966,-8514,-8451
2025-07-04T14:44:34.889522,1547,1167,1440,-4221,-8757,-8041
2025-07-04T14:44:34.895681,1742,1446,1710,-3281,-8822,-8041
2025-07-04T14:44:35.083449,746,555,820,-2123,-8163,-8092
2025-07-04T14:44:35.089606,1461,1074,1440,-4312,-8692,-7974
2025-07-04T14:44:35.095823,1758,1465,1710,-3253,-8783,-7995
2025-07-04T14:44:35.283469,818,621,820,-2191,-8501,-8451
2025-07-04T14:44:35.289576,1527,1146,1440,-4230,-8974,-8296
2025-07-04T14:44:35.295754,1716,1432,1710,-3154,-8822,-8150
2025-07-04T14:44:35.483479,843,661,820,-2024,-8498,-8451
2025-07-04T14:44:35.489600,1484,1113,1440,-4123,-8775,-8041
2025-07-04T14:44:35.495748,1732,1442,1710,-3231,-8794,-8217
2025-07-04T14:44:35.683578,844,668,820,-1956,-8405,-8393
2025-07-04T14:44:35.689676,1415,1041,1440,-4161,-8757,-8092
2025-07-04T14:44:35.695871,1743,1451,1710,-3245,-8730,-8092
2025-07-04T14:44:35.883564,741,553,820,-2085,-8087,-8034
2025-07-04T14:44:35.889717,1482,1099,1440,-4250,-8805,-8057
2025-07-04T14:44:35.895876,1722,1435,1710,-3198,-8829,-8137
2025-07-04T14:44:36.083656,764,576,820,-2087,-8176,-8120
2025-07-04T14:44:36.089791,1445,1067,1440,-4209,-8786,-8092
2025-07-04T14:44:36.095896,1736,1444,1710,-3242,-8730,-7995
2025-07-04T14:44:36.283710,764,588,820,-1956,-8204,-8120
2025-07-04T14:44:36.292306,1445,1069,1440,-4175,-8799,-8092
2025-07-04T14:44:36.296101,1738,1449,1710,-3218,-8724,-7995
2025-07-04T14:44:36.483722,814,630,820,-2046,-8457,-8410
2025-07-04T14:44:36.490874,1488,1109,1440,-4216,-8800,-8041
2025-07-04T14:44:36.496750,1748,1446,1710,-3351,-8713,-8066
2025-07-04T14:44:36.683703,774,586,820,-2092,-8139,-8066
2025-07-04T14:44:36.689906,1459,1083,1440,-4184,-8711,-7954
2025-07-04T14:44:36.695987,1734,1439,1710,-3273,-8768,-7995
2025-07-04T14:44:36.883748,798,614,820,-2048,-8357,-8313
2025-07-04T14:44:36.889897,1426,1050,1440,-4183,-8753,-8041
2025-07-04T14:44:36.896264,1750,1458,1710,-3245,-8830,-8082
2025-07-04T14:44:37.083838,752,572,820,-2007,-8184,-8120
2025-07-04T14:44:37.089924,1514,1144,1440,-4113,-8627,-7954
2025-07-04T14:44:37.096101,1752,1461,1710,-3245,-8779,-7995
2025-07-04T14:44:37.283811,810,626,820,-2053,-8436,-8393
2025-07-04T14:44:37.289963,1502,1128,1440,-4162,-8988,-8296
2025-07-04T14:44:37.296124,1716,1428,1710,-3203,-8841,-8120
